,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.005352064502862323,0.06625954793438103,-0.1319727564281432,-0.01807786699093905,-0.013606746459718533,-0.016220350727976496,-0.003950414398844061,-0.0011841926292982849,-0.003472745739715793,-0.00019451992029649132
2,-0.004061507832536368,-0.005935576969825129,-0.12113582607639559,-0.01624475439412602,-0.01078159645757139,-0.011697159583518331,-0.0033403227451059775,-0.001009394276413327,-0.006770078305500226,-0.0003539950409480276
3,-0.0009083271551700491,0.054629782196333763,-0.06339902207510238,-0.005001474624632834,-0.00643831141007599,-0.00673583750260826,-0.002181999893683253,-0.0008260830167320236,-0.006206523875582164,-0.00035058987822948946
4,0.0040518598715005094,-0.10450595723758821,-0.06045015116084835,-0.0010270822049790668,-0.0051857790567737105,-0.00745716447181859,-0.00015365796767403362,-0.00010872873735998853,-0.00016917037561404002,-0.00025070510515237064
5,0.005698256045913701,-0.11161990968373414,-0.003972689838294498,0.004119821244091333,0.005426410555550406,0.0018866020278500693,0.002522232401977189,0.00030102584310410114,0.0029874154644708166,6.9522072170153715e-06
6,-0.0005241112950949956,-0.0680395021576435,-0.017406056762927464,0.004849093592978252,0.005240261660270321,0.005887100695012628,0.002576715005473799,0.00020908644970357132,-0.00220205251858131,-4.412523356105675e-05
7,-0.001741456966972381,-0.07741221254041973,0.010625242736078512,0.005754299348989641,0.0005939171308250275,0.003713471826345782,-0.00048452627849198966,0.00015290126484769197,-0.0012798209489772304,7.675804294704726e-05
8,-1.674205003281253e-05,-0.011084750527374555,0.2282713256355216,0.006862679813873806,0.014190731865947825,0.012742260774549662,0.0023213278015834387,0.00037934458563047835,0.0014091225444283883,0.00023907079919736532
9,0.003161409820602786,-0.08722418891388739,0.03316685240568125,0.0019161134380773998,0.004867396342590395,0.007039180748118033,0.0006238541863921753,0.0012539038771750242,0.004155386276929399,0.00016245463803025715
10,0.0035853525790607845,-0.012710715725476517,0.10433588827736791,0.015346642727111585,0.010439377604358306,0.01280639133908213,0.004668619968895731,0.001239148172061359,0.010390806741692491,0.000519996723476762
11,0.0016597330617274656,0.08679267912716601,0.08530840653329654,0.013003323249637587,0.005220398211078848,0.009276940181317347,0.0005205642505965183,0.0006171384488083919,0.00583299644292919,0.00032817255699911334
12,-0.005552401576136317,0.27085080449806864,-0.06337121324623432,-0.011500795200082632,-0.009966059986481505,-0.011241435306353978,-0.003122392331119536,-0.001024149981526992,-0.004675335706479513,-0.0001394697896801247
