month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,1100,1028,27970,1902,11538,115176,8208,5740,3710,368
2,1095,1062,26469,1849,11767,102135,7490,4867,3615,318
3,1862,1498,37362,3112,18394,133582,10842,6481,5848,467
4,1716,1243,32330,2798,13152,109344,8275,5113,5065,572
5,1436,1555,33494,3575,16319,110022,10116,6138,6296,379
6,1113,1448,28498,2503,13855,97091,7536,4423,4499,353
7,927,1430,32412,2330,13414,121373,8930,5522,4418,333
8,900,1495,45046,3230,19954,177684,12321,8473,4856,402
9,1358,1580,33519,2685,15736,111085,9273,5620,5175,387
10,1944,1783,36871,3526,17868,115922,9881,6087,5503,482
11,2207,2404,41867,3656,19628,128002,10815,6471,6663,734
12,1393,2582,36618,3163,18054,138628,10616,7072,5145,501
