month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,528,10334,8132,227,557,1113,78,42,178,34
2,527,9335,8746,201,775,1391,98,68,253,79
3,645,9682,8398,222,977,1385,81,51,156,27
4,1077,7387,7042,281,1275,1663,315,154,402,97
5,1990,9857,12557,555,1759,3499,687,160,618,67
6,1934,11147,11967,882,1549,2993,706,143,646,58
7,955,12422,14576,785,1538,2397,484,154,580,60
8,1020,13676,22744,860,2273,3487,482,243,665,51
9,1143,12416,16605,794,1889,3163,610,213,635,71
10,1119,12082,16342,861,2499,3341,862,263,865,104
11,983,12653,10829,429,1349,2067,246,107,383,60
12,476,13409,8398,179,637,1113,112,59,186,45
