month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,3225,7218,141226,4722,12620,11565,2929,1348,5207,555
2,3610,6289,130565,5464,13388,12812,3653,1790,6524,753
3,4864,8483,157428,7385,18171,16646,5131,2110,8056,806
4,5436,6887,139056,4884,14148,14579,3883,1620,6435,710
5,6256,7732,145161,5903,17179,15887,4049,1838,6650,678
6,4191,7101,133147,5785,15066,14125,4030,1797,6791,798
7,3026,6585,144031,5459,14936,14550,3792,1726,6827,615
8,3110,8110,202842,7154,22699,18700,4678,2120,6639,613
9,4059,7516,146047,6180,15452,16288,4696,1881,6848,720
10,4855,6833,146301,6441,15565,16182,4674,2810,7411,771
11,5278,7888,156093,6652,17971,16912,4682,2104,8131,950
12,3417,7070,176023,5851,17371,14904,4265,1906,7022,771
