month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,35,57,2031,83,535,4132,4433,639,320,90
2,46,81,2001,69,578,3873,4160,683,426,36
3,205,166,3277,223,999,5737,5162,577,936,39
4,286,162,2908,240,899,4025,4151,446,840,47
5,299,291,3608,250,1178,4641,4404,501,987,60
6,190,282,3802,298,969,3618,4118,408,731,33
7,88,190,3315,148,1035,5357,5101,456,641,17
8,96,127,4910,184,1631,10594,7265,786,740,29
9,201,200,4278,186,972,4782,4656,515,881,62
10,294,366,4312,400,1242,5045,5394,706,1192,59
11,525,448,5157,356,1892,6040,5801,949,1463,84
12,88,221,3758,144,1235,4852,6428,598,859,53
