month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,104,116,4778,147,773,4050,14087,756,6156,73
2,128,180,5020,164,788,4605,12338,917,6581,86
3,362,285,7266,320,1465,5799,15905,1089,7843,193
4,332,222,6680,254,1243,3851,12687,818,5809,151
5,251,257,7363,315,1581,4511,13650,1212,6219,107
6,193,209,6026,268,1138,3276,12230,655,5306,115
7,111,242,6341,228,1065,4265,13780,869,7005,89
8,122,214,9766,273,1924,7620,19243,1505,9631,123
9,210,308,7648,302,1404,4762,13155,1170,7032,127
10,401,473,7594,458,1912,5086,17047,1164,8548,203
11,495,454,8575,431,2085,6375,16634,1513,9705,308
12,156,215,6476,186,1062,4817,18475,928,7573,146
