year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,122,333,2969,3091,19351,12448,612,279,174,32
2009,72,330,2460,2207,14598,9373,534,349,147,7
2010,42,78,1502,580,3839,3301,267,176,90,7
2011,45,230,2482,1797,9609,7481,453,146,84,2
2012,27,256,2355,1613,9942,6597,211,223,109,6
2013,35,111,3577,1138,6044,4618,349,113,60,6
2014,45,90,3740,1012,5826,4369,415,136,88,4
2015,88,210,6136,1641,10008,6505,236,175,182,6
2016,167,297,6546,1696,12783,6914,342,235,180,8
2017,114,265,6226,1890,13494,7013,335,144,305,9
2018,162,269,6260,2054,14045,7623,450,249,268,39
2019,146,238,4647,2173,12829,8809,546,251,282,20
2020,68,69,2007,937,7476,4387,164,57,127,13
2021,79,120,1219,601,7013,2927,195,86,169,22
2022,53,106,1942,1013,6111,4842,153,88,144,15
2023,53,118,2157,1379,6146,5130,247,155,186,36
