year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,730,470,9492,435,2099,9297,3585,6788,909,180
2009,543,462,8498,435,1867,8772,3624,6291,1095,97
2010,540,600,9103,797,2592,9839,3173,5808,1378,38
2011,503,232,9058,595,2617,10179,3276,6071,1034,65
2012,707,241,9134,751,2084,8652,3191,6840,877,55
2013,390,222,9149,423,2122,7273,2665,6124,786,43
2014,415,277,8157,455,1840,7271,3147,6264,661,76
2015,658,198,8293,375,1393,5973,2323,5768,607,82
2016,545,375,7982,377,1481,6467,2350,6054,859,84
2017,535,420,8532,412,1486,5744,2322,5819,978,84
2018,332,293,8137,405,1327,5345,2188,5536,697,82
2019,341,297,8590,450,1257,6014,2288,6667,619,99
2020,172,81,3608,224,936,4530,1783,4876,584,19
2021,74,72,3577,200,733,3660,1516,5221,533,23
2022,297,264,6614,414,1464,5603,2377,6116,1087,35
2023,309,353,6222,323,1450,5647,2041,4373,897,42
2024,175,160,5501,158,1083,5034,1769,4678,692,44
