year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,401,369,5524,431,1240,8586,1483,5052,757,69
2009,301,272,3840,358,894,7005,1215,3861,513,65
2010,185,187,2673,166,567,2568,704,2464,338,39
2011,125,92,2528,117,484,1919,573,2694,298,24
2012,220,184,2448,190,852,2672,482,1782,402,39
2013,241,340,3185,217,1388,4206,641,2883,354,49
2014,261,351,3558,278,880,6867,850,3448,613,74
2015,285,320,3626,400,847,6587,1037,3612,468,85
2016,329,385,4007,369,1133,6586,1055,2927,609,53
2017,286,385,4160,292,1166,6045,1081,2845,639,58
2018,242,305,4212,300,1001,5738,880,2770,523,53
2019,250,276,4626,286,996,5110,872,2793,623,50
2020,155,121,2480,116,596,3649,664,2620,386,38
2021,94,86,2513,96,655,3919,599,3274,277,27
2022,214,187,4675,209,1178,5780,1170,3135,517,59
2023,319,290,5096,280,1246,5614,1181,2503,591,81
