year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,431,5342,82112,2314,2878,1556,496,266,656,84
2009,427,5142,89099,2660,2432,1857,523,223,777,137
2010,410,3377,68307,1809,1793,1280,424,194,531,89
2011,132,3415,76889,984,1048,990,188,67,225,28
2012,304,5417,73572,1738,1940,1153,343,154,432,54
2013,349,5277,75056,1848,1757,1561,373,213,529,59
2014,225,5025,69049,1556,1252,1314,307,191,439,49
2015,254,5658,71011,1578,1029,778,254,118,373,46
2016,395,6051,73002,1485,1315,1146,305,218,714,44
2017,341,5419,65836,1880,1899,1219,309,129,1021,46
2018,396,5736,70560,1959,2141,1254,393,213,1096,47
2019,350,5535,67648,1550,1524,1307,328,151,887,45
2020,88,3260,46711,557,721,603,86,47,267,29
2021,85,2533,45764,366,556,388,67,27,87,38
2022,130,4370,60719,757,809,567,128,71,227,50
2023,243,5982,70373,1372,979,1173,152,83,259,58
2024,727,6392,76385,1600,1259,933,189,108,327,89
