year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,144,452,35805,1965,7879,2620,188,75,237,25
2009,97,442,32974,2055,8321,2758,325,96,227,34
2010,102,428,26939,1415,5368,3362,201,68,183,41
2011,81,446,27385,1425,4551,1914,237,158,146,14
2012,100,387,27937,2025,6648,2333,189,155,184,39
2013,153,751,29861,1834,7942,3664,316,293,243,44
2014,140,663,31595,1987,7101,4365,311,182,263,48
2015,197,619,31951,1751,5962,3488,313,189,325,52
2016,223,492,32547,1760,5583,2532,268,171,436,56
2017,238,409,34340,1856,5350,2436,245,153,290,50
2018,219,577,36664,2237,4888,2398,321,137,372,73
2019,111,339,30805,2303,4210,1975,257,74,282,56
2020,22,120,17172,899,2267,735,67,21,172,13
2021,36,213,17664,767,2606,1103,89,16,133,12
2022,80,238,21005,973,2955,1338,185,55,169,41
2023,185,329,21371,1235,2616,1463,195,85,290,51
