year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,1515,1308,21002,1601,8425,12039,5234,1005,44451,489
2009,1709,1574,19636,1256,8464,12734,5516,1122,43154,624
2010,1318,1103,16094,970,6766,10455,4335,945,33444,448
2011,1022,914,18207,1135,7781,14865,5937,1324,39238,409
2012,1020,1455,18570,1374,7002,12298,5276,1290,31942,411
2013,1410,1337,20331,1149,7268,11061,4752,1193,27288,549
2014,1885,1679,22244,1210,7817,12730,4910,1300,31016,566
2015,1557,1622,24133,1408,8772,13177,4559,1146,26413,574
2016,873,983,16766,1080,6035,8095,3443,697,21343,514
2017,1065,1231,17834,1478,7318,9993,3846,736,29366,620
2018,917,1241,16653,1184,6182,8790,3520,812,28469,556
2019,910,1333,15767,1138,6235,8626,3170,723,23107,507
2020,400,288,7191,340,2305,4329,1316,246,21499,161
2021,275,200,5639,165,1639,3333,1230,170,21993,138
2022,539,494,10436,649,3274,5606,2444,530,27872,240
2023,825,842,13925,1006,4753,8068,3291,525,30434,409
2024,905,1124,14642,858,5200,7819,3546,701,25961,461
