year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,287,999,57809,20574,14181,9473,933,547,802,51
2009,264,1638,54456,21015,16391,12374,1356,575,1365,42
2010,243,893,48080,16125,10764,8511,587,338,527,61
2011,378,1187,60524,17831,14528,8080,599,338,522,52
2012,279,1532,68009,23156,17607,9692,836,448,2192,236
2013,400,1586,78239,36292,22899,12092,937,480,1278,106
2014,271,1229,63753,23597,16028,11228,595,291,916,139
2015,443,1249,59564,23908,16484,8737,752,393,893,155
2016,385,1302,62449,27420,20138,8612,802,522,1113,158
2017,343,1065,63169,24456,18592,8160,716,433,969,207
2018,440,1078,65229,20258,15435,6684,569,407,826,156
2019,363,1089,60067,19746,11470,6655,550,373,984,168
2020,157,509,39404,14119,9246,4986,210,185,379,54
2021,619,572,42999,15547,9328,5459,222,135,338,65
2022,528,794,53879,15732,13156,7087,393,203,934,80
2023,310,889,48314,13203,9856,5847,463,439,877,110
2024,296,767,37080,9482,6283,4471,373,317,829,92
