year,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2008,883,1280,13945,1983,12103,64652,2935,1585,2506,219
2009,764,983,12158,1873,12624,61856,3249,2007,2283,165
2010,796,828,11306,1415,10814,50069,2972,1811,2274,220
2011,545,426,9271,1292,13071,55766,2480,1566,1668,65
2012,490,535,8909,1250,9946,55061,2070,1736,1510,127
2013,956,1571,12131,1413,11339,55905,2970,2014,2731,146
2014,534,835,8014,1048,10681,45349,2376,1729,1740,149
2015,467,748,6910,954,7698,35970,1691,1523,1223,211
2016,653,1114,9098,1068,10628,42489,1884,1656,1501,147
2017,712,1059,8849,892,9149,42182,1894,1392,1640,167
2018,557,1010,9054,995,9804,43512,1674,1341,1702,104
2019,601,749,8554,1052,8635,47780,1641,1302,1584,87
2020,148,178,4134,303,4648,35961,530,443,545,33
2021,115,140,3709,261,4185,32082,477,341,383,29
2022,254,267,5455,395,4702,28919,669,570,652,66
2023,260,321,5796,458,4695,26061,832,653,827,59
2024,268,408,5429,459,4301,24934,853,671,786,74
