year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,238764,16351,201851,7389,34410,64780,9938,6007,18163,1715
2009,225333,14954,200514,6599,31787,54601,9955,5699,16151,1913
2010,171244,9628,150075,4753,23911,45371,7384,4414,12239,1410
2011,176287,10618,148287,4662,21451,40554,5755,4286,11280,1023
2012,170629,11570,157494,5143,23109,40080,7060,4279,12728,1302
2013,192267,11911,161092,5373,23905,42351,7390,4559,13772,1585
2014,197978,9196,151953,4984,23437,39939,7260,4580,11855,1598
2015,165266,9495,142861,4665,22332,37212,9248,4371,12037,1442
2016,159540,9698,132976,5024,22742,35502,8893,3971,10898,1378
2017,147177,8942,132317,4920,21903,40655,9166,5100,11951,1526
2018,139064,10096,127803,4772,21572,33929,7206,4451,12729,1411
2019,153897,10559,131642,4913,21949,33506,7506,4631,13223,1437
2020,109305,3385,60369,1384,7975,17072,1820,1560,5443,680
2021,113619,3486,54687,1296,6764,14847,1337,927,4073,482
2022,159085,8118,111110,3683,18522,34997,5441,2658,9572,1003
2023,133872,9308,119715,5459,22655,39894,6809,4082,13203,1311
