,Unnamed: 0,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度,known,unknown
10,10,2023-05-01,13106.0,75.0,8.0,7.0,16.0,13.0,53.0,49.0,68.0,49.0,82.0,309.0,219.0,694.0,417.0,144.0,523.0,611.0,2234.0,9.0,112.0,450.0,204.0,1982.0,232.0,499.0,655.0,1489.0,794.0,270.0,60.0,20.0,11.0,95.0,96.0,16.0,50.0,53.0,25.0,2.0,89.0,13.0,11.0,7.0,7.0,5.0,13.0,7.0,259.0,75.0,146.0,1847.0,1390.0,5102.0,3767.0,238.0,130.0,145.0,7.0,2023,5,810003013,参考第2表(5月),福井県,136.7167,35.4993,12847.0,259.0
11,11,2023-04-01,12614.0,55.0,3.0,17.0,29.0,0.0,10.0,5.0,32.0,33.0,54.0,211.0,134.0,693.0,234.0,161.0,357.0,452.0,1910.0,28.0,101.0,355.0,174.0,1353.0,264.0,593.0,505.0,3227.0,537.0,178.0,59.0,6.0,6.0,28.0,45.0,34.0,24.0,19.0,8.0,5.0,57.0,1.0,8.0,211.0,2.0,2.0,4.0,4.0,386.0,55.0,64.0,1419.0,1071.0,4056.0,5099.0,119.0,56.0,285.0,4.0,2023,4,1616669,参考第2表(4月),福井県,136.4267,35.3285,12228.0,386.0
12,12,2023-03-01,18249.0,29.0,13.0,11.0,18.0,14.0,9.0,16.0,118.0,73.0,60.0,228.0,243.0,1174.0,414.0,105.0,492.0,741.0,3717.0,46.0,179.0,821.0,192.0,2175.0,504.0,1148.0,1015.0,2357.0,1055.0,357.0,68.0,22.0,8.0,69.0,88.0,36.0,28.0,188.0,14.0,4.0,74.0,5.0,10.0,10.0,7.0,7.0,2.0,73.0,212.0,29.0,81.0,2356.0,1517.0,7409.0,6000.0,223.0,234.0,115.0,73.0,2023,3,1611685,参考第2表(3月),福井県,136.5592,35.3951,18037.0,212.0
13,13,2023-02-01,12039.0,19.0,3.0,8.0,12.0,0.0,7.0,9.0,31.0,21.0,31.0,175.0,150.0,737.0,204.0,53.0,364.0,523.0,2882.0,19.0,60.0,406.0,101.0,1347.0,271.0,593.0,700.0,1802.0,584.0,269.0,73.0,40.0,2.0,33.0,52.0,12.0,20.0,216.0,19.0,15.0,48.0,12.0,4.0,11.0,4.0,0.0,4.0,22.0,71.0,19.0,39.0,1368.0,1000.0,5007.0,4021.0,139.0,270.0,83.0,22.0,2023,2,1602931,参考第2表(2月),福井県,136.4662,35.4115,11968.0,71.0
14,14,2023-01-01,10441.0,19.0,9.0,4.0,13.0,0.0,2.0,30.0,33.0,18.0,10.0,200.0,116.0,581.0,169.0,45.0,285.0,501.0,2571.0,21.0,62.0,405.0,75.0,1021.0,232.0,572.0,616.0,1581.0,475.0,336.0,78.0,0.0,0.0,20.0,36.0,1.0,19.0,47.0,14.0,7.0,26.0,4.0,4.0,6.0,3.0,1.0,0.0,19.0,154.0,19.0,58.0,1148.0,893.0,4304.0,3658.0,57.0,87.0,44.0,19.0,2023,1,1596098,参考第2表(1月),福井県,136.5167,35.444,10287.0,154.0
15,15,2022-12-01,18881.0,7.0,11.0,7.0,18.0,2.0,22.0,28.0,54.0,34.0,39.0,202.0,197.0,1281.0,335.0,77.0,539.0,701.0,5531.0,77.0,138.0,630.0,211.0,2067.0,493.0,1080.0,920.0,2433.0,701.0,329.0,100.0,12.0,2.0,53.0,79.0,6.0,24.0,42.0,24.0,2.0,69.0,2.0,70.0,8.0,7.0,0.0,6.0,76.0,135.0,7.0,88.0,2219.0,1455.0,8932.0,5563.0,152.0,92.0,162.0,76.0,2022,12,1588919,参考第2表(12月),福井県,136.5293,35.4549,18746.0,135.0
16,16,2022-11-01,21000.0,207.0,23.0,28.0,86.0,29.0,28.0,78.0,110.0,51.0,261.0,409.0,356.0,2116.0,510.0,213.0,426.0,697.0,3380.0,205.0,239.0,675.0,715.0,2720.0,652.0,1058.0,793.0,2179.0,938.0,332.0,100.0,22.0,41.0,111.0,87.0,30.0,39.0,88.0,40.0,24.0,226.0,20.0,156.0,295.0,7.0,14.0,10.0,20.0,156.0,207.0,272.0,4018.0,1575.0,8142.0,5400.0,291.0,191.0,728.0,20.0,2022,11,1583855,参考第2表(11月),福井県,136.8023,35.4623,20844.0,156.0
17,17,2022-10-01,17969.0,49.0,16.0,19.0,40.0,10.0,21.0,24.0,126.0,42.0,84.0,232.0,192.0,844.0,223.0,193.0,362.0,1350.0,4644.0,113.0,238.0,686.0,182.0,1406.0,291.0,531.0,835.0,2974.0,1126.0,279.0,61.0,41.0,23.0,157.0,87.0,11.0,37.0,80.0,59.0,7.0,194.0,4.0,4.0,9.0,13.0,2.0,0.0,4.0,44.0,49.0,130.0,1856.0,2143.0,7209.0,5806.0,319.0,183.0,226.0,4.0,2022,10,1578856,参考第2表(10月),福井県,136.449,35.5247,17925.0,44.0
18,18,2022-09-01,13384.0,27.0,12.0,55.0,59.0,10.0,15.0,36.0,103.0,32.0,41.0,237.0,132.0,1064.0,280.0,95.0,268.0,307.0,2771.0,44.0,127.0,378.0,204.0,1427.0,215.0,582.0,784.0,2238.0,1145.0,285.0,63.0,14.0,12.0,93.0,57.0,15.0,15.0,15.0,17.0,12.0,67.0,2.0,1.0,12.0,6.0,0.0,3.0,7.0,0.0,27.0,187.0,1933.0,797.0,4995.0,5097.0,191.0,59.0,91.0,7.0,2022,9,1572819,参考第2表(9月),福井県,136.6228,35.4158,13384.0,0.0
19,19,2022-08-01,20905.0,24.0,2.0,74.0,60.0,14.0,8.0,26.0,159.0,44.0,129.0,446.0,384.0,1416.0,549.0,128.0,464.0,426.0,2889.0,57.0,263.0,884.0,244.0,3299.0,435.0,1001.0,1346.0,3522.0,1554.0,548.0,118.0,11.0,5.0,90.0,64.0,16.0,15.0,41.0,16.0,0.0,99.0,2.0,3.0,11.0,2.0,0.0,6.0,11.0,0.0,24.0,184.0,3184.0,1281.0,7751.0,8089.0,186.0,72.0,123.0,11.0,2022,8,1518809,参考第2表(8月),福井県,136.6926,35.3431,20905.0,0.0
20,20,2022-07-01,15016.0,66.0,7.0,26.0,24.0,13.0,26.0,42.0,161.0,50.0,82.0,313.0,164.0,609.0,333.0,178.0,366.0,465.0,2293.0,39.0,180.0,668.0,201.0,2539.0,411.0,612.0,837.0,2371.0,1241.0,349.0,69.0,9.0,3.0,57.0,62.0,20.0,6.0,33.0,14.0,2.0,38.0,4.0,2.0,4.0,0.0,4.0,2.0,18.0,3.0,66.0,138.0,1751.0,1189.0,6112.0,5479.0,151.0,55.0,54.0,18.0,2022,7,1513787,参考第2表(7月),福井県,136.628,35.3992,15013.0,3.0
21,21,2022-06-01,12478.0,58.0,3.0,23.0,23.0,7.0,13.0,8.0,114.0,30.0,82.0,145.0,103.0,554.0,193.0,190.0,295.0,241.0,5037.0,17.0,128.0,335.0,176.0,1242.0,218.0,451.0,397.0,1260.0,427.0,410.0,43.0,16.0,8.0,61.0,34.0,5.0,7.0,23.0,6.0,0.0,64.0,2.0,10.0,4.0,6.0,3.0,4.0,2.0,0.0,58.0,77.0,1238.0,854.0,7008.0,2988.0,124.0,36.0,93.0,2.0,2022,6,1498879,参考第2表(6月),福井県,136.5949,35.6519,12478.0,0.0
