month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,293,618,17817,23277,8775,11878,741,550,1012,231
2,354,789,19523,23017,9611,13132,967,780,1558,338
3,799,1365,24140,24537,12171,14740,1276,681,1598,270
4,1124,1278,19036,15905,9457,9745,1185,414,1359,285
5,1045,1537,23773,15417,10145,11115,1510,690,1767,261
6,963,2041,20956,18541,9946,9856,1315,627,1448,293
7,449,1824,21822,18385,11257,11225,1189,625,1312,224
8,424,1555,34109,22198,16901,18089,1351,592,1169,229
9,1125,2615,26688,15711,10326,12364,1464,688,1846,350
10,1343,2480,27233,19558,11956,11958,2152,792,2191,416
11,1361,2488,30964,22853,14387,15014,1851,746,2889,556
12,334,899,21702,27426,10543,10689,793,449,1326,334
