month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,301,221,6506,220,1171,3635,3669,1375,26293,288
2,379,341,7646,406,1535,4048,3572,1225,24809,241
3,840,469,8851,610,2393,6288,5764,1774,34920,347
4,517,328,6196,425,1414,3644,3983,1346,27409,216
5,400,374,6898,466,1773,4164,4005,1424,27070,272
6,234,267,5549,302,1095,3295,3225,1042,26292,325
7,178,248,6501,271,1340,4138,5284,1850,37849,247
8,194,254,9448,320,2403,6263,8611,3333,48406,336
9,346,403,7301,340,1557,4695,4982,1742,36612,275
10,488,485,7786,568,1824,4628,4679,1779,37226,458
11,787,568,9868,582,2432,5749,5162,1901,37418,643
12,358,326,8202,303,1666,4767,5001,1613,36923,401
