month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,115,181,24715,1321,3421,1781,111,71,101,15
2,57,195,23160,1570,3842,1823,112,55,154,25
3,123,436,28144,2090,5234,2931,281,85,279,37
4,235,465,25596,1572,4686,2398,280,99,311,47
5,171,356,26017,1449,5550,2348,273,97,239,40
6,125,429,23624,1565,5440,1829,140,75,207,48
7,85,351,28278,1320,5470,2260,233,175,275,44
8,91,430,41376,1600,6657,3231,286,199,248,33
9,156,587,29279,1563,5555,2636,260,167,253,39
10,222,756,30448,2201,5864,2705,366,110,372,51
11,135,721,32079,2271,6788,3010,310,257,358,65
12,79,272,29294,1343,4679,1912,129,56,165,43
