month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,473,2242,79431,33433,2454,4193,383,427,4445,454
2,581,2439,80573,31856,2327,2788,424,304,2770,138
3,831,3962,66691,33880,2689,3229,358,227,620,118
4,445,3409,36097,26165,2503,3054,369,140,669,84
5,542,4866,39628,28187,3897,3487,490,271,642,74
6,451,4208,31822,31163,2988,3084,368,187,601,51
7,408,5347,55351,31218,3398,3364,503,254,753,58
8,585,7558,101520,36909,5353,4479,543,327,853,63
9,576,5446,41079,29435,4074,3883,543,278,943,80
10,622,5516,48235,35217,5796,4958,861,374,1569,136
11,505,5884,41332,35933,3907,3678,523,244,883,100
12,321,3075,51295,43563,1986,2249,261,131,579,138
