month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,288,191,5632,175,1062,2523,1895,360,23141,1813
2,270,303,5861,234,1217,2109,1186,234,16650,1190
3,513,372,7627,467,2006,4179,2396,385,25460,345
4,390,207,6021,262,1398,3311,2166,667,25692,287
5,320,254,6758,332,1762,4001,2741,1127,23275,267
6,195,230,5488,301,1289,3245,1303,323,17026,324
7,156,260,6322,228,1606,3435,1769,427,22979,247
8,214,274,9733,283,2392,5842,4040,951,43192,404
9,299,283,7587,311,1978,4410,2451,611,27193,267
10,425,366,7686,630,2805,3901,2244,751,27271,943
11,553,426,8441,402,2651,4588,2322,601,25917,1687
12,235,268,6645,373,1700,3103,1923,366,26108,2877
